tweet_date,hashtags,text,twitter_user,user_loc,keyword
Wed Jul 03 17:58:11 +0000 2019,[],@realdonaldtrump bitcoin is up over 300% on the year.,HeavyIntentions,,btc
Wed Jul 03 17:58:12 +0000 2019,[],@detroitheem1 can we get some unlocked tweets around this btc hoe ,biggwapsosa_,,btc
Wed Jul 03 17:58:12 +0000 2019,[],creating time and space on bitcoin - _unwriter - medium https://t.co/3magcgjw3a,BecauseBitcoin,"Brooklyn, NY",btc
Wed Jul 03 17:58:13 +0000 2019,[],@markvalek @jilnik @lukegromen @ronstoeferle @apompliano they can't send a letter to bitcoin.,JimmyBa30316994,,btc
Wed Jul 03 17:58:13 +0000 2019,[],"dec 2020 $50k calls traded $1350 30x today on @ledgerx. largest trade in this contract to date, implies around 30% bitcoin chance above $50k end of 2020",FarNiente2000,,btc
Wed Jul 03 17:58:13 +0000 2019,[],@bestsoupintown @cancermoney_ bitcoin is crazy rn too,CHODYDA1GOD,"Colorado Springs, CO",btc
Wed Jul 03 17:58:14 +0000 2019,[],"gab has been accepting bitcoin since inception in 2016. bitcoin is and always has been free speech money.   what is hilarious is that you, and no one else, can do anything to stop us ever again. https://t.co/rxoy4cb8ac",MurphDaSurf1956,"South Carolina, USA",btc
Wed Jul 03 17:58:14 +0000 2019,[],bullish bitcoin sv could rip by more than 100 percent in three months https://t.co/ags9fwxe5m,Total_Exchange,Global,btc
Wed Jul 03 17:58:14 +0000 2019,[],bitmex mirror trading bot bitcoin bot &amp; crypto signals - bitmex mirror trading bot bitcoin bot &amp; crypto signals https://t.co/ssbdcxgcgr,CryptTradingbot,,btc
Wed Jul 03 17:58:15 +0000 2019,[],middle finger to the politic elite! https://t.co/4dvuzucvui,marketvoyeur,,btc
Wed Jul 03 17:58:15 +0000 2019,['XBTUSD'],ta on btc - #xbtusd chart https://t.co/x3el3krwrr,Luke31284121,,btc
Wed Jul 03 17:58:16 +0000 2019,[],@ultragare congrats on your progress and finding bitcoin in 2011.,MasterJ_210,14th Dimensional Entity.,btc
Wed Jul 03 17:58:16 +0000 2019,[],"with @dragonchain there's no hype and need for a mainnet. every project receives their own hybrid blockchain with the capabilities of interchaining to btc, eth, etc and neo.  there's no need to swap tokens and any erc-20 wallet can be used to store and facilitate $drgn transfers.",Crypt0fever,"Maastricht, Nederland",btc
Wed Jul 03 17:58:16 +0000 2019,[],another bitcoin price pump is expected as trump escalates economic tensions withchina https://t.co/nyk9wdfcyr,somsirsa,Kolkata,btc
Wed Jul 03 17:58:16 +0000 2019,[],zoom out,PROTElN,mars ,btc
Wed Jul 03 17:58:17 +0000 2019,[],"i think $btc pulls back here, and if we're lucky some $alts will swim upstream and pump against $btc and $usd.  this would be similar to when we saw when $hot $btt and others going nuts while we saw $9000 btc drop to $7500. https://t.co/v6oqlty3gn",CryptoOverloadd,Planet blockchain,btc
Wed Jul 03 17:58:18 +0000 2019,[],"bitmex ceo rips bitcoin hater roubini, praises facebooks libra https://t.co/o3cwmwnmyu",preditor02,,btc
Wed Jul 03 17:58:21 +0000 2019,"['Airdrop', 'Airdrops', 'bitcoin', 'retweet', 'follow', 'Ethereum', 'altcoin', 'TokenSale', 'ico', 'BOOM', 'AFCON19']","join $boom airdrop to claim token worth of $100 + ref. click https://t.co/ibmwfpzhyd and complete tasks to earn, invite your friends to earn $10. tag 5 friends when retweeting #airdrop #airdrops #bitcoin #retweet #follow #ethereum #altcoin #tokensale #ico #boom #afcon19",Pathekur89,,btc
Wed Jul 03 17:58:21 +0000 2019,"['Airdrop', 'Airdrops', 'bitcoin', 'retweet', 'follow', 'Ethereum', 'altcoin', 'TokenSale', 'ico', 'BOOM', 'AFCON19']","join $boom airdrop to claim token worth of $100 + ref. click https://t.co/ibmwfpzhyd and complete tasks to earn, invite your friends to earn $10. tag 5 friends when retweeting #airdrop #airdrops #bitcoin #retweet #follow #ethereum #altcoin #tokensale #ico #boom #afcon19",jake24264521,,btc
Wed Jul 03 17:58:21 +0000 2019,"['Airdrop', 'Airdrops', 'bitcoin', 'retweet', 'follow', 'Ethereum', 'altcoin', 'TokenSale', 'ico', 'BOOM', 'AFCON19']","join $boom airdrop to claim token worth of $100 + ref. click https://t.co/ibmwfpzhyd and complete tasks to earn, invite your friends to earn $10. tag 5 friends when retweeting #airdrop #airdrops #bitcoin #retweet #follow #ethereum #altcoin #tokensale #ico #boom #afcon19",Daniel83792406,,btc
Wed Jul 03 17:58:21 +0000 2019,[],1 bitcoin giveaway by bitstarz (11 000$) -rt &amp; follow  -tag 2 friends  -enter here: https://t.co/g0jdaqwusc https://t.co/knqbrgtfhf,JashSha25078640,"Mumbai, India",btc
Wed Jul 03 17:58:21 +0000 2019,[],@fobtspecialist praying for decred pump tbh feels like been waiting forever for that shit to pump vs btc would be a sign if it happens on my birthday,decredited,Moon,btc
Wed Jul 03 17:58:22 +0000 2019,[],"""as a system bitcoin is highly stable even though its price may not be,"" writes @caitlinlong_  ""bitcoin is the opposite of fiat currencies, which generally exhibit price-stability but are susceptible to periodic bouts of...instability."" https://t.co/0gvbnluzzq @forbes https://t.co/18yp5ciaw6",Juli1Roche,"Aix-en-Provence, France",btc
Wed Jul 03 17:58:22 +0000 2019,[],@xtdisnkfe figured you could caption this with btc/ltc :): https://t.co/wdljepu0j2,gorucker,"Florida, USA",btc
Wed Jul 03 17:58:22 +0000 2019,"['BTCOW', 'BCO']", #btcow.trade free tokens   get free 500 #bco tokens worth 100$ early birds only: https://t.co/ft73vucio3    follow https://t.co/nunqdsua7m on telegram https://t.co/9kc6drifax and twitter https://t.co/zqqts2gaqm   #airdrop #crypto #btc #free #bounty #ico,nghiemhuynh22,Vietnam,btc
Wed Jul 03 17:58:23 +0000 2019,"['Airdrop', 'Airdrops', 'bitcoin', 'retweet', 'follow', 'Ethereum', 'altcoin', 'TokenSale', 'ico', 'BOOM', 'AFCON19']","join $boom airdrop to claim token worth of $100 + ref. click https://t.co/ibmwfpzhyd and complete tasks to earn, invite your friends to earn $10. tag 5 friends when retweeting #airdrop #airdrops #bitcoin #retweet #follow #ethereum #altcoin #tokensale #ico #boom #afcon19",Rossairdropage,,btc
Wed Jul 03 17:58:23 +0000 2019,[],"@timccopeland hey tim, its already done. someone, which i cant remember, coded a bot to follow changes in mkt cap of tether.  if i stumble upon it again, ill send it to you.  indeed, every single time theter is printed btc pumps/dump accordingly.  its the major threat to btc besides 51%.",cryptocatalunya,"Colonia, Alemania",btc
Wed Jul 03 17:58:23 +0000 2019,[],i broke twitter dm. seriously. i gave so many codes out https://t.co/fozn6mzz02,im_just_will,,ltc
Wed Jul 03 17:58:24 +0000 2019,"['Airdrop', 'Airdrops', 'bitcoin', 'retweet', 'follow', 'Ethereum', 'altcoin', 'TokenSale', 'ico', 'BOOM', 'AFCON19']","join $boom airdrop to claim token worth of $100 + ref. click https://t.co/ibmwfpzhyd and complete tasks to earn, invite your friends to earn $10. tag 5 friends when retweeting #airdrop #airdrops #bitcoin #retweet #follow #ethereum #altcoin #tokensale #ico #boom #afcon19",Linhlin29615270,,btc
Wed Jul 03 17:58:26 +0000 2019,[],"people with goals succeed because they know where theyre going.  earl nightingale click the link, change your life... https://t.co/3psqgymn8q  #money #business #entrepreneur #bitcoin #success #love https://t.co/q1njry9i2c",janietheartist1,"Grand Prairie, TX",btc
Wed Jul 03 17:58:27 +0000 2019,[],just in: @casahodl has launched a new wallet app aimed to help aspiring cypherpunks graduate from getting their first bitcoin to running their own lightning node. report by @la__cuen https://t.co/jthswijvma,_CaptainReason_,,btc
