date,hashtags,text,user,keyword
Thu Jun 27 15:36:59 +0000 2019,['ChangeYourPastIn5Words'],"RT @Bitcoinproblogr: #ChangeYourPastIn5Words ""Should Have Bought Bitcoin Then""  - You can still buy $quan though, at $0.00349 https://t.co/",CryptoCadet777,
Thu Jun 27 15:36:59 +0000 2019,[],"RT @oliverzok: Amazon-owned, Twitch has enabled bitcoin (BTC) and bitcoin cash (BCH) payments again.  In addition, yesterday, San Francisco",TotCung,bitcoin bitcoin cash
Thu Jun 27 15:37:00 +0000 2019,[],"RT @cz_binance: Bitcoin rallies, ""damn, I wish I bought in earlier""  A dip, ""omg, it's all crushing to 0, let me get out. ""  Rallies again.",parteeeygruppe1,
Thu Jun 27 15:37:00 +0000 2019,[],"LOL ""crashing"" ",SolarPoweredMod,
Thu Jun 27 15:37:01 +0000 2019,[],usd bitcoin - Binance https://t.co/qHg3iwwRaq,AlexandraLundu,bitcoin bitcoin
Thu Jun 27 15:37:02 +0000 2019,[],"@BitcoinJake09 Bitcoin is needed, but no farm? And she did not need! Install CryptoTab, the world's first browser w https://t.co/6fjjvca82A",arnibit,
Thu Jun 27 15:37:02 +0000 2019,[],Bitcoin Price Rising Alongside Negative-Yielding GovernmentDebt https://t.co/dGDHGQwQpR https://t.co/Nq7lbPec0R,crypto_renegade,
Thu Jun 27 15:37:03 +0000 2019,[],RT @xtdisnkfe: BTFD &amp; HODL  Litecoin is now extremely undervalued   Bitcoin took a nice dip   60k bitcoin 1k litecoin 2020,spox1,bitcoin bitcoin
Thu Jun 27 15:37:04 +0000 2019,"['Vechain', 'bitcoin']",RT @SexyBiteCoin: buy $VET now and triple your $BTC  #Vechain #bitcoin,thecryptoborg,bitcoin bitcoin
Thu Jun 27 15:37:04 +0000 2019,"['bitcoin', 'crypto', 'coinbase']",What Happened With Coinbase?  Read More: https://t.co/YEK4qFIIro #bitcoin #crypto #coinbase https://t.co/e3q7vbMVDl,Altcoinbuzznews,bitcoin bitcoin
Thu Jun 27 15:37:07 +0000 2019,['MuscularDystrophy'],"This is why you have ALS, #MuscularDystrophy, Parkinsons and Cancer. THE TRUTH https://t.co/tFjBDuZ5c5  Her Sto https://t.co/RV1TPxkWcz",satoshi_datahub,
Thu Jun 27 15:37:07 +0000 2019,[],RT @AleksSvetski: BTC Up 300% Alts Up 50%  Bitcoin down 10% Alts down 50%  Net position: Bitcoin up 270% Alts down 25%  But muh diversific,305_Jesus,
Thu Jun 27 15:37:07 +0000 2019,['Bitcoin'],$10k support #Bitcoin,mihai_tilea,
