+ ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- +
| date                           | hashtags                                                                                                                                                                                                                                                         | text                                                                                                                                                                                                                                                                                                          | user            | user_loc                    | keyword     |
+ ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- +
| Thu Jun 27 20:49:08 +0000 2019 | []                                                                                                                                                                                                                                                               | learn why bitcoin can make you $$$ https://t.co/btl1ka0cez                                                                                                                                                                                                                                                    | MrBochiballs    |                             | {'bitcoin'} |
| Thu Jun 27 20:49:08 +0000 2019 | []                                                                                                                                                                                                                                                               | possibility: alts were hit hard by the increase in btc and then even harder in the decline. the result is that they are now cheap in both usd terms and sats. this could lead to increased buying and that may cause the next alt run.  its  a possibility.                                                   | thetacit1101    |                             | {'btc'}     |
| Thu Jun 27 20:49:10 +0000 2019 | []                                                                                                                                                                                                                                                               | bitcoins price will go down and up, but the education that bitcoin offers will always be priceless.                                                                                                                                                                                                           | al1enz          | Georgia/                    | {'bitcoin'} |
| Thu Jun 27 20:49:10 +0000 2019 | []                                                                                                                                                                                                                                                               | @peterschiff if bitcoin is so bad why do you waste so much time repeating the same arguments again and again while ignoring all the answers?                                                                                                                                                                  | vmabellini      |                             | {'bitcoin'} |
| Thu Jun 27 20:49:11 +0000 2019 | []                                                                                                                                                                                                                                                               | @coinbase lost respect and legitimacy when by coincidence a glitch when the bitcoin selloff started. too common and questionably corrupt.  its these actions that give crypto a bad rap. coinbase should apologize to their dedicated flock who got screwed.                                                  | sarsenault45    | Earth                       | {'bitcoin'} |
| Thu Jun 27 20:49:11 +0000 2019 | ['Blockchain', 'Bitcoin', 'Cryptocurrency', 'BlockchainTechnology', 'Tech']                                                                                                                                                                                      | blockchains secret 1,000 year history - forbes - medium https://t.co/wid4uqtg8h @oliversmitheu #blockchain #bitcoin #cryptocurrency #blockchaintechnology #tech https://t.co/41hewcxe1y                                                                                                                       | _DarkSquare     | Baltimore MD                | {'bitcoin'} |
| Thu Jun 27 20:49:19 +0000 2019 | []                                                                                                                                                                                                                                                               | now kids, this is what we call the "panic sell-off" / in hindsight, it's normally a bad idea for those who got emotional  $btc                                                                                                                                                                                | wobbbbble       | New York, NY                | {'btc'}     |
| Thu Jun 27 20:49:20 +0000 2019 | ['Bitcoin', 'tron', 'xrp', 'ante', 'ltc', 'xlm', 'facebook']                                                                                                                                                                                                     | #bitcoin dominance going to flush out all the shit coins &amp; open up market space for companies that are producing now like #tron #xrp #ante #ltc #xlm and a handful of others but the rest need to go.  #facebook just help flush them. good. needed to be done                                            | SrCaptainCrypto | North Carolina, USA         | {'bitcoin'} |
| Thu Jun 27 20:49:20 +0000 2019 | ['G20Summit', 'LitecoinFam', 'bitcoinbillionaires', 'HODL']                                                                                                                                                                                                      | everyone needs to keep in mind that crypto regulations are going to be a big focus of tomorrow's #g20summit it is bound to have an effect on the btc draw back either way. hodl strong and trade wisely everybody.  #litecoinfam #bitcoinbillionaires  #hodl                                                  | BotLtc          |                             | btc bitcoin |
| Thu Jun 27 20:49:21 +0000 2019 | ['Bitcoin']                                                                                                                                                                                                                                                      | #bitcoin $btc under 11k today, as i've said before, this will be a very wild ride   https://t.co/89w9udwk3j                                                                                                                                                                                                   | investlikemike  | Canada                      | btc bitcoin |
| Thu Jun 27 20:49:22 +0000 2019 | ['BTC', 'Bitfinex']                                                                                                                                                                                                                                              | 775 #btc (8,196,483 usd) transferred from #bitfinex to unknown wallet  tx: https://t.co/dilzutdqwp whale_alert                                                                                                                                                                                                | CryptoBert1     | London, England             | {'btc'}     |
| Thu Jun 27 20:49:22 +0000 2019 | []                                                                                                                                                                                                                                                               | three simple truths:  1. nocoiners are trying to suppress prices to continue accumulating bitcoin. 2. bitcoiners have already accumulated bitcoin. 3. everyone wants bitcoin.                                                                                                                                 | thetacit1101    |                             | {'bitcoin'} |
| Thu Jun 27 20:49:23 +0000 2019 | []                                                                                                                                                                                                                                                               | bitcoin crashed to $11,000.   (think about how ridiculous this sounds if you look at a 3/5/10 year chart.)                                                                                                                                                                                                    | smolleyes80     |                             | {'bitcoin'} |
| Thu Jun 27 20:49:23 +0000 2019 | ['crypto']                                                                                                                                                                                                                                                       | that's how it felt like to be deep in $alts for the last 24h #crypto $btc https://t.co/m7mqjjgneu                                                                                                                                                                                                             | bigfloater74    | Zürich, Schweiz             | {'btc'}     |
| Thu Jun 27 20:49:24 +0000 2019 | []                                                                                                                                                                                                                                                               | can't believe bitcoin is dead again :/                                                                                                                                                                                                                                                                        | pourteaux       | BOS | SF                    | {'bitcoin'} |
| Thu Jun 27 20:49:26 +0000 2019 | []                                                                                                                                                                                                                                                               | too much usdt is running thur the top coins inflating prices..btc eth xrp and so forth  this must and will change...                                                                                                                                                                                          | Kevin_Cage_     | Planet Earth                | {'btc'}     |
| Thu Jun 27 20:49:26 +0000 2019 | []                                                                                                                                                                                                                                                               | bitcoin headshot (audio) https://t.co/24krkphrd2                                                                                                                                                                                                                                                              | nakism99        |                             | {'bitcoin'} |
| Thu Jun 27 20:49:26 +0000 2019 | []                                                                                                                                                                                                                                                               | almost $300,000,000 of btc dumped in less than 5 bot infested minutes.    and nobody cares tether almost hit 96 cents during those exact 5 minutes.    thats sad.                                                                                                                                             | GillBachman     | San Jose, CA                | {'btc'}     |
| Thu Jun 27 20:49:26 +0000 2019 | ['Bitcoin', 'BTC', 'Adoption', 'BitcoinATMs']                                                                                                                                                                                                                    | #bitcoin atms surpass 5,000 worldwide as #btc reaches new highs   @coinatmradar  by: anthonia isichei  https://t.co/xiepijwr2w #adoption #bitcoinatms https://t.co/n2gon6l0nd                                                                                                                                 | btc_manager     |                             | btc bitcoin |
| Thu Jun 27 20:49:27 +0000 2019 | []                                                                                                                                                                                                                                                               | bitcoin vs global aggregate negative yielding sovereign debt. real straightforward situation. https://t.co/obmhnkbrf7                                                                                                                                                                                         | AgustnRedondoR1 | Spain                       | {'bitcoin'} |
| Thu Jun 27 20:49:27 +0000 2019 | ['bitcoin', 'btc', 'xrp', 'eth']                                                                                                                                                                                                                                 | @apompliano @barrysilbert lol   #bitcoin #btc $gbtc #xrp $xrp #eth $eth                                                                                                                                                                                                                                       | maxxrpbtc       | Australia, UK               | btc bitcoin |
| Thu Jun 27 20:49:27 +0000 2019 | ['crypto', 'cryptocurrency', 'ico', 'blockchain', 'airdrop', 'altcoin', 'btc', 'eth', 'bitcoin', 'ethereum', 'fintech', 'IEO', 'launchpad', 'tokensale', 'token', 'altcoin', 'trading', 'listing', 'exchange', 'murthaburke', 'thecollectivego', 'chaincreator'] | issues related to business and investments? try @iowntoken #crypto #cryptocurrency #ico #blockchain #airdrop #altcoin #btc #eth #bitcoin #ethereum #fintech #ieo #launchpad #tokensale #token #altcoin #trading #listing #exchange #murthaburke #thecollectivego #chaincreator https://t.co/a4wdp6gqqa        | viskasuzimta420 |                             | btc bitcoin |
| Thu Jun 27 20:49:27 +0000 2019 | []                                                                                                                                                                                                                                                               | @xlarrybirdx666 @mcflyasf might want to tell that to block30 labs then, son...because they, like lots of others, have btc, ltc, and dgb together...maybe it is you who is new to the scene...                                                                                                                 | change2happen   |                             | {'btc'}     |
| Thu Jun 27 20:49:28 +0000 2019 | []                                                                                                                                                                                                                                                               | @harmonyprotocol @tylerwinklevoss get eth &amp; btc right now ! https://t.co/jorzbmsofc                                                                                                                                                                                                                       | EXCMhXNpxL65PkP |                             | {'btc'}     |
| Thu Jun 27 20:49:28 +0000 2019 | ['Bitcoin', 'GBTC']                                                                                                                                                                                                                                              | #bitcoin enjoy the ride with a modest position in #gbtc                                                                                                                                                                                                                                                       | trader_twitt    | North America               | btc bitcoin |
| Thu Jun 27 20:49:29 +0000 2019 | []                                                                                                                                                                                                                                                               | bitcoin's price surges past us$13500, up 268% year-to-date https://t.co/j8q3kafdku                                                                                                                                                                                                                            | kharta3         | Dubai, United Arab Emirates | {'bitcoin'} |
| Thu Jun 27 20:49:29 +0000 2019 | ['Live', 'Crypto', 'Giveaway']                                                                                                                                                                                                                                   | $eth 1h algo  #live algorithm signals in discord  price dropped 12.54% from last sell signal until this recent buy. we had a lot of sell signals before the dump and a lot of great buys today. gl today #crypto !  #giveaway $25 $eth or $btc 1 retweet. like, follow, tag 3 friends https://t.co/3famp3fafk | CryptoTasnim    |                             | {'btc'}     |
| Thu Jun 27 20:49:30 +0000 2019 | []                                                                                                                                                                                                                                                               | not surprised that bitcoin is crashing today. i warned that it was a bubble back in 2012.                                                                                                                                                                                                                     | therealpaulcook | Louisville, KY              | {'bitcoin'} |
| Thu Jun 27 20:49:30 +0000 2019 | []                                                                                                                                                                                                                                                               | this aged well  $btc                                                                                                                                                                                                                                                                                          | cryptonator1337 | Berlin, Deutschland         | {'btc'}     |
+ ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- +
